asian,black,native,population,state,white
0.012,0.264,0.005,4830620,Alabama,0.688
0.059000000000000004,0.034,0.138,733375,Alaska,0.66
0.03,0.042,0.044000000000000004,6641928,Arizona,0.784
0.013999999999999999,0.155,0.006,2958208,Arkansas,0.78
0.13699999999999998,0.059000000000000004,0.006999999999999999,38421464,California,0.618
0.028999999999999998,0.04,0.009000000000000001,5278906,Colorado,0.8420000000000001
0.042,0.10300000000000001,0.002,3593222,Connecticut,0.773
0.036000000000000004,0.21600000000000003,0.003,926454,Delaware,0.6940000000000001
0.037000000000000005,0.489,0.003,647484,District of Columbia,0.402
0.026000000000000002,0.161,0.003,19645772,Florida,0.76
0.036000000000000004,0.309,0.003,10006693,Georgia,0.602
0.377,0.02,0.002,1406299,Hawaii,0.254
0.013000000000000001,0.006,0.013000000000000001,1616547,Idaho,0.917
0.05,0.14300000000000002,0.002,12873761,Illinois,0.723
0.019,0.092,0.002,6568645,Indiana,0.8420000000000001
0.02,0.032,0.003,3093526,Iowa,0.912
0.026000000000000002,0.057999999999999996,0.008,2892987,Kansas,0.852
0.013000000000000001,0.079,0.002,4397353,Kentucky,0.8759999999999999
0.017,0.321,0.006,4625253,Louisiana,0.628
0.011000000000000001,0.011000000000000001,0.006,1329100,Maine,0.95
0.06,0.295,0.003,5930538,Maryland,0.5760000000000001
0.06,0.071,0.002,6705586,Massachusetts,0.7959999999999999
0.027000000000000003,0.14,0.005,9900571,Michigan,0.79
0.044000000000000004,0.055,0.01,5419171,Minnesota,0.848
0.01,0.374,0.004,2988081,Mississippi,0.5920000000000001
0.018000000000000002,0.115,0.004,6045448,Missouri,0.826
0.006999999999999999,0.005,0.065,1014699,Montana,0.892
0.02,0.047,0.009000000000000001,1869365,Nebraska,0.8809999999999999
0.077,0.084,0.011000000000000001,2798636,Nevada,0.69
0.024,0.013000000000000001,0.002,1324201,New Hampshire,0.937
0.09,0.135,0.002,8904413,New Jersey,0.6829999999999999
0.013999999999999999,0.021,0.091,2084117,New Mexico,0.732
0.08,0.156,0.004,19673174,New York,0.6459999999999999
0.025,0.215,0.012,9845333,North Carolina,0.695
0.012,0.016,0.053,721640,North Dakota,0.887
0.019,0.122,0.002,11575977,Ohio,0.8240000000000001
0.019,0.07200000000000001,0.073,3849733,Oklahoma,0.731
0.04,0.018000000000000002,0.012,3939233,Oregon,0.851
0.031,0.11,0.002,12779559,Pennsylvania,0.816
0.032,0.065,0.005,1053661,Rhode Island,0.8109999999999999
0.013999999999999999,0.275,0.003,4777576,South Carolina,0.672
0.012,0.016,0.086,843190,South Dakota,0.85
0.016,0.168,0.003,6499615,Tennessee,0.778
0.042,0.11900000000000001,0.005,26538614,Texas,0.7490000000000001
0.022000000000000002,0.011000000000000001,0.011000000000000001,2903379,Utah,0.8759999999999999
0.013999999999999999,0.011000000000000001,0.003,626604,Vermont,0.9490000000000001
0.06,0.192,0.003,8256630,Virginia,0.69
0.077,0.036000000000000004,0.013000000000000001,6985464,Washington,0.778
0.006999999999999999,0.033,0.002,1851420,West Virginia,0.9359999999999999
0.025,0.063,0.009000000000000001,5742117,Wisconsin,0.865
0.009000000000000001,0.011000000000000001,0.022000000000000002,579679,Wyoming,0.91
0.003,0.084,0.003,3583073,Puerto Rico,0.6970000000000001
