mc,pe,tb,ab,avg,state,gdp,asian,black,native,population,white,latino,ob
0.043141945999999994,0.195798898,-0.003811365,AK,0.07837649299999999,Alaska,63971.0,0.059,0.034,0.138,733375,0.66,0.069,0.273
0.076803409,0.10829468199999999,0.10600386699999999,AL,0.097033986,Alabama,37261.0,0.012,0.264,0.005,4830620,0.688,0.041,0.301
0.030883353,0.090910555,0.09190086,AR,0.071231589,Arkansas,36368.0,0.014,0.155,0.006,2958208,0.78,0.07200000000000001,0.281
0.061041215999999995,0.12322986400000001,0.075877729,AZ,0.08671627,Arizona,38590.0,0.03,0.042,0.044,6641928,0.784,0.309,0.233
0.059854366,0.09081268199999999,0.098647889,CA,0.08310497900000001,California,58619.0,0.13699999999999998,0.059,0.006999999999999999,38421464,0.618,0.389,0.231
0.005661785999999999,0.106283276,0.07409329,CO,0.062012784,Colorado,52795.0,0.029,0.04,0.009000000000000001,5278906,0.8420000000000001,0.213,0.21
0.118770559,0.096699134,0.126646612,CT,0.11403876800000001,Connecticut,64511.0,0.042,0.103,0.002,3593222,0.773,0.157,0.208
0.208333333,,0.125,DC,0.166666667,District of Columbia,160472.0,0.037000000000000005,0.489,0.003,647484,0.402,0.11,0.221
0.075692039,0.020605948,0.049690862999999995,DE,0.04866295,Delaware,63664.0,0.036000000000000004,0.21600000000000005,0.003,926454,0.6940000000000001,0.092,0.259
0.05617637,0.119082425,0.082753905,FL,0.08600423300000001,Florida,39543.0,0.026,0.161,0.003,19645772,0.76,0.249,0.233
0.065701705,0.107924306,0.062546823,GA,0.078724278,Georgia,44723.0,0.036000000000000004,0.309,0.003,10006693,0.602,0.093,0.275
0.029807692,0.096958874,0.101892557,HI,0.076219708,Hawaii,51277.0,0.377,0.02,0.002,1406299,0.254,0.104,0.207
0.050049429000000006,0.09696779800000001,0.106338131,IA,0.084451786,Iowa,50315.0,0.02,0.032,0.003,3093526,0.912,0.057,0.263
0.092063492,0.082645975,0.07247394,ID,0.082394469,Idaho,35466.0,0.013,0.006,0.013,1616547,0.917,0.123,0.246
0.018572909,0.053297906,0.069554406,IL,0.04714174,Illinois,54091.0,0.05,0.14300000000000002,0.002,12873761,0.723,0.17,0.253
0.033325284,0.09057601400000001,0.058370125999999994,IN,0.060757140999999994,Indiana,45317.0,0.019,0.092,0.002,6568645,0.8420000000000001,0.068,0.275
0.07444954299999999,0.10118364099999999,0.08731646,KS,0.087649881,Kansas,46982.0,0.026,0.058,0.008,2892987,0.852,0.116,0.258
0.000383772,0.042095058,0.10651934800000001,KY,0.049666059000000005,Kentucky,38985.0,0.013,0.079,0.002,4397353,0.8759999999999999,0.034,0.284
0.047839604,0.060532693,0.052399847,LA,0.053590715,Louisiana,43917.0,0.017,0.321,0.006,4625253,0.628,0.049,0.295
0.06282474099999999,0.126297198,0.06253711,MA,0.08388635,Massachusetts,65545.0,0.06,0.071,0.002,6705586,0.7959999999999999,0.114,0.209
0.051890751,0.006010866,0.084691141,MD,0.047530919000000005,Maryland,55404.0,0.06,0.295,0.003,5930538,0.5760000000000001,0.098,0.252
0.078021406,0.08945191699999999,0.039619532,ME,0.069030952,Maine,38921.0,0.011,0.011,0.006,1329100,0.95,0.016,0.237
0.050259232,0.12594608300000001,0.06284962599999999,MI,0.07968498,Michigan,43372.0,0.027000000000000003,0.14,0.005,9900571,0.79,0.049,0.277
0.12594697,0.09002684400000001,0.09997832300000001,MN,0.105317379,Minnesota,53704.0,0.044,0.055,0.01,5419171,0.848,0.052000000000000005,0.248
-0.0027506270000000003,0.182035115,0.106247718,MO,0.095177402,Missouri,43317.0,0.018000000000000002,0.115,0.004,6045448,0.826,0.04,0.274
0.08893140599999999,0.187384259,0.047569953,MS,0.10796187300000001,Mississippi,31881.0,0.01,0.374,0.004,2988081,0.5920000000000001,0.029,0.344
0.038961038999999996,0.45,0.0021915579999999997,MT,0.163717532,Montana,39356.0,0.006999999999999999,0.005,0.065,1014699,0.892,0.036000000000000004,0.217
0.019398664,0.083350551,0.085009154,NC,0.062586123,North Carolina,44325.0,0.025,0.215,0.012,9845333,0.695,0.092,0.271
0.07777387,0.08433343800000001,0.077165418,ND,0.079757575,North Dakota,62837.0,0.012,0.016,0.053,721640,0.887,0.035,0.259
0.09745654699999999,0.141350422,0.081410142,NE,0.106739037,Nebraska,53114.0,0.02,0.047,0.009000000000000001,1869365,0.8809999999999999,0.106,0.265
0.034501263,0.25,0.10188161400000001,NH,0.128794292,New Hampshire,51794.0,0.024,0.013,0.002,1324201,0.937,0.035,0.236
0.060477492,0.14138888900000002,0.06430089900000001,NJ,0.08872242699999999,New Jersey,57084.0,0.09,0.135,0.002,8904413,0.6829999999999999,0.2,0.229
0.249382716,0.08874628,0.112585034,NM,0.15023801,New Mexico,41348.0,0.014,0.021,0.091,2084117,0.732,0.485,0.233
0.060504642000000004,0.065250157,0.073156044,NV,0.066303614,Nevada,43820.0,0.077,0.084,0.011,2798636,0.69,0.285,0.236
0.021353933999999998,0.08838021900000001,0.097220584,NY,0.068984912,New York,64579.0,0.08,0.156,0.004,19673174,0.6459999999999999,0.19,0.235
0.035374892000000005,0.028594219,0.05154927,OH,0.038506127,Ohio,47567.0,0.019,0.122,0.002,11575977,0.8240000000000001,0.036000000000000004,0.269
0.033048341,0.133698593,0.059292436,OK,0.075346457,Oklahoma,44623.0,0.019,0.07200000000000001,0.073,3849733,0.731,0.103,0.281
-0.021211549,0.150638155,0.08145837,OR,0.070294992,Oregon,50582.0,0.04,0.018000000000000002,0.012,3939233,0.851,0.128,0.25
0.06730452,0.167559862,0.08483497699999999,PA,0.106566453,Pennsylvania,50997.0,0.031,0.11,0.002,12779559,0.816,0.07,0.257
-0.011313676000000002,0.025367647000000004,0.06422694799999999,RI,0.02609364,Rhode Island,47639.0,0.032,0.065,0.005,1053661,0.8109999999999999,0.149,0.214
0.110211546,0.065367965,0.104388522,SC,0.093322678,South Carolina,37063.0,0.014,0.275,0.003,4777576,0.672,0.055,0.292
0.01,0.11800000000000001,0.188786008,SD,0.105595336,South Dakota,48076.0,0.012,0.016,0.086,843190,0.85,0.037000000000000005,0.261
0.076536808,0.23545488399999998,0.16808916399999999,TN,0.160026952,Tennessee,43267.0,0.016,0.168,0.003,6499615,0.778,0.052000000000000005,0.29
0.039779912,0.034017305,0.084187077,TX,0.052661430999999995,Texas,53795.0,0.042,0.119,0.005,26538614,0.7490000000000001,0.391,0.272
0.064524857,0.060493487,-0.011547451,UT,0.037823631,Utah,44636.0,0.022,0.011,0.011,2903379,0.8759999999999999,0.138,0.218
0.044413303,0.07912683400000001,0.067774042,VA,0.063771393,Virginia,51736.0,0.06,0.192,0.003,8256630,0.69,0.09,0.252
-0.047685185,0.825,0.033148147999999995,VT,0.27015432100000003,Vermont,43946.0,0.014,0.011,0.003,626604,0.949,0.02,0.211
0.08829686099999999,0.08920729,0.070583779,WA,0.082695977,Washington,56831.0,0.077,0.036000000000000004,0.013,6985464,0.778,0.124,0.245
0.07246298400000001,0.211706349,0.110274956,WI,0.13148143,Wisconsin,47266.0,0.025,0.063,0.009000000000000001,5742117,0.865,0.067,0.255
0.260119048,,0.040208431,WV,0.15016374,West Virginia,36315.0,0.006999999999999999,0.033,0.002,1851420,0.936,0.015,0.306
0.32592592600000003,0.18333333300000001,0.041798942,WY,0.18368606699999998,Wyoming,58821.0,0.009000000000000001,0.011,0.022,579679,0.91,0.096,0.24
